measured,measured_errors,restored,restored_errors
0.1479553903345725,0.010488279538785,0.041872043538515744,0.01389746552781099
0.2587360594795539,0.0138697086291283,0.061914318006234724,0.018475748310824342
0.2550185873605948,0.0097366549098206,0.06231089355542788,0.02106126864906741
0.2156133828996282,0.0073099782918228,0.10225621626425256,0.02131040126308518
0.0959107806691449,0.0042222366883273,0.1919791652500582,0.021587469396659214
0.0237918215613382,0.0018809086454533,0.25280665034451166,0.021631485757398674
0.0022304832713754,0.0005257299488375,0.20443458325542607,0.019394263665923554
0.0007434944237918,0.0002810144780737,0.08242612978557311,0.018189842220321245
0.0,0.0002628649744187,0.0,0.013740954238642765
0.0,0.0002478314745972,0.0,0.00887163743629537
